Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI,, ,Date,Module,T,P,S,F,I,KI
25-July-2025,mimoto,176,143,0,0,33,0,,,24-July-2025,auth,610,588,0,1,5,16,,,23-July-2025,auth,610,588,0,1,5,16,,,22-July-2025,auth,610,586,0,3,5,16,,,21-July-2025,auth,610,585,0,4,5,16
25-July-2025,prereg,288,213,4,60,2,9,,,24-July-2025,idrepo,414,316,0,0,78,20,,,23-July-2025,idrepo,414,316,0,0,78,20,,,22-July-2025,idrepo,414,316,0,0,78,20,,,21-July-2025,idrepo,414,316,0,0,78,20
,,,,,,,,,,24-July-2025,masterdata-ara,945,896,0,0,15,34,,,23-July-2025,masterdata-ara,945,896,0,0,15,34,,,22-July-2025,masterdata-ara,945,896,0,0,15,34,,,21-July-2025,masterdata-ara,945,896,0,0,15,34
,,,,,,,,,,24-July-2025,masterdata-eng,945,923,0,0,0,22,,,23-July-2025,masterdata-eng,945,923,0,0,0,22,,,22-July-2025,masterdata-eng,945,923,0,0,0,22,,,21-July-2025,masterdata-eng,945,923,0,0,0,22
,,,,,,,,,,24-July-2025,masterdata-fra,945,907,0,0,15,23,,,23-July-2025,masterdata-fra,945,907,0,0,15,23,,,22-July-2025,masterdata-fra,945,907,0,0,15,23,,,21-July-2025,masterdata-fra,945,907,0,0,15,23
,,,,,,,,,,24-July-2025,masterdata-hin,945,896,0,0,15,34,,,23-July-2025,mimoto,176,141,0,2,33,0,,,22-July-2025,masterdata-hin,945,896,0,0,15,34,,,21-July-2025,masterdata-hin,945,896,0,0,15,34
,,,,,,,,,,24-July-2025,masterdata-kan,945,896,0,0,15,34,,,23-July-2025,partner,509,332,134,29,2,12,,,22-July-2025,masterdata-kan,945,896,0,0,15,34,,,21-July-2025,masterdata-kan,945,896,0,0,15,34
,,,,,,,,,,24-July-2025,masterdata-tam,945,896,0,0,15,34,,,23-July-2025,prereg,288,276,0,1,2,9,,,22-July-2025,masterdata-tam,945,896,0,0,15,34,,,21-July-2025,masterdata-tam,945,896,0,0,15,34
,,,,,,,,,,24-July-2025,mimoto,176,143,0,0,33,0,,,23-July-2025,resident,1142,1124,0,6,0,12,,,22-July-2025,mimoto,176,52,4,87,33,0,,,21-July-2025,mimoto,176,141,0,2,33,0
,,,,,,,,,,24-July-2025,partner,509,347,121,27,2,12,,,,,,,,,,,,,22-July-2025,partner,509,331,134,30,2,12,,,21-July-2025,partner,509,492,0,3,2,12
,,,,,,,,,,24-July-2025,prereg,288,277,0,0,2,9,,,,,,,,,,,,,22-July-2025,prereg,288,277,0,0,2,9,,,21-July-2025,prereg,288,277,0,0,2,9
,,,,,,,,,,24-July-2025,resident,1142,1125,0,5,0,12,,,,,,,,,,,,,22-July-2025,resident,1142,1124,0,6,0,12,,,21-July-2025,resident,1142,584,72,474,0,12
